ds,actual,forecast
2023-05-03,12.115983647019867,12.1001835
2023-05-04,12.089008049536424,12.074045
2023-05-05,12.06203245205298,12.047937
2023-05-06,12.035056854569536,12.021856
2023-05-07,12.008081257086094,11.995809
2023-05-08,11.98110565960265,11.969789
2023-05-09,11.954130062119205,11.9438
2023-05-10,11.92715446463576,11.917843
2023-05-11,11.900178867152317,11.891918
2023-05-12,11.873203269668874,11.866026
2023-05-13,11.84622767218543,11.840166
2023-05-14,11.819252074701986,11.814342
2023-05-15,11.792276477218543,11.7885475
2023-05-16,11.765300879735099,11.762789
2023-05-17,11.738325282251655,11.737066
2023-05-18,11.711349684768212,11.711378
2023-05-19,11.684374087284768,11.685724
2023-05-20,11.657398489801324,11.660108
2023-05-21,11.630422892317881,11.634529
2023-05-22,11.603447294834437,11.608985
2023-05-23,11.576471697350993,11.583478
2023-05-24,11.54949609986755,11.55801
2023-05-25,11.522520502384106,11.532581
2023-05-26,11.495544904900662,11.507191
2023-05-27,11.46856930741722,11.48184
2023-05-28,11.441593709933775,11.456529
2023-05-29,11.41461811245033,11.431257
2023-05-30,11.387642514966888,11.406026
2023-05-31,11.360666917483442,11.380835
2023-06-01,11.33369132,11.355686
